time (second),average fuel mass flow rate (kilogram / second),average port diameter (inch),average regression rate (inch / second),average total mass flow rate (kilogram / second),average total mass flux (kilogram / inch ** 2 / second),inlet mach,inlet velocity (mph),nozzle exit area (inch ** 2),nozzle exit diameter (inch),nozzle exit mach,nozzle exit velocity (mph),nozzle naught temp (degF),nozzle nozzle diffuser length (inch),nozzle star mach,nozzle star pressure (pound_force_per_square_inch),nozzle star temp (degF),nozzle star velocity (mph),nozzle throat area (inch ** 2),nozzle throat diameter (inch),nozzle thrust (newton),oxi fuel ratio,oxidiser mass (kilogram),oxidiser mass flow rate (kilogram / second)
0.0,0.0079015,1.0006,0.02895,0.035,0.0008,0.0,4.6991,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5413,3.4677,0.3207,0.0274
0.01,0.0079034,1.0012,0.02894,0.035,0.0008,0.0,4.6994,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5468,3.4669,0.3204,0.0274
0.02,0.0079053,1.0017,0.02893,0.035,0.0008,0.0,4.6996,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5523,3.466,0.3201,0.0274
0.03,0.0079072,1.0023,0.02892,0.035,0.0008,0.0,4.6999,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5577,3.4652,0.3199,0.0274
0.04,0.007909,1.0029,0.02891,0.035,0.0008,0.0,4.7001,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5632,3.4644,0.3196,0.0274
0.05,0.0079109,1.0035,0.0289,0.035,0.0008,0.0,4.7004,0.1173,0.3864,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5687,3.4636,0.3193,0.0274
0.060000000000000005,0.0079127,1.004,0.02889,0.035,0.0008,0.0,4.7006,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5741,3.4628,0.319,0.0274
0.07,0.0079146,1.0046,0.02888,0.035,0.0008,0.0,4.7009,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5796,3.462,0.3188,0.0274
0.08,0.0079165,1.0052,0.02887,0.035,0.0008,0.0,4.7011,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4033,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5851,3.4611,0.3185,0.0274
0.09,0.0079183,1.0058,0.02886,0.035,0.0008,0.0,4.7014,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.5905,3.4603,0.3182,0.0274
0.09999999999999999,0.0079202,1.0064,0.02885,0.035,0.0008,0.0,4.7016,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.596,3.4595,0.3179,0.0274
0.10999999999999999,0.0079221,1.0069,0.02884,0.035,0.0008,0.0,4.7019,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.6014,3.4587,0.3177,0.0274
0.11999999999999998,0.0079239,1.0075,0.02883,0.035,0.0008,0.0,4.7021,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1703,103.6069,3.4579,0.3174,0.0274
0.12999999999999998,0.0079258,1.0081,0.02882,0.035,0.0008,0.0,4.7024,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6123,3.4571,0.3171,0.0274
0.13999999999999999,0.0079276,1.0087,0.02881,0.035,0.0008,0.0,4.7026,0.1173,0.3865,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6177,3.4563,0.3168,0.0274
0.15,0.0079295,1.0092,0.0288,0.035,0.0008,0.0,4.7029,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6232,3.4555,0.3166,0.0274
0.16,0.0079313,1.0098,0.02879,0.035,0.0008,0.0,4.7031,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6286,3.4547,0.3163,0.0274
0.17,0.0079332,1.0104,0.02878,0.035,0.0008,0.0,4.7034,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4034,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.634,3.4538,0.316,0.0274
0.18000000000000002,0.007935,1.011,0.02877,0.035,0.0008,0.0,4.7036,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6394,3.453,0.3158,0.0274
0.19000000000000003,0.0079369,1.0115,0.02876,0.035,0.0008,0.0,4.7039,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6449,3.4522,0.3155,0.0274
0.20000000000000004,0.0079387,1.0121,0.02875,0.035,0.0008,0.0,4.7041,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6503,3.4514,0.3152,0.0274
0.21000000000000005,0.0079406,1.0127,0.02874,0.035,0.0008,0.0,4.7043,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6557,3.4506,0.3149,0.0274
0.22000000000000006,0.0079424,1.0133,0.02873,0.035,0.0008,0.0,4.7046,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6611,3.4498,0.3147,0.0274
0.23000000000000007,0.0079443,1.0138,0.02872,0.035,0.0008,0.0,4.7048,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6665,3.449,0.3144,0.0274
0.24000000000000007,0.0079461,1.0144,0.02871,0.035,0.0008,0.0,4.7051,0.1174,0.3866,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6719,3.4482,0.3141,0.0274
0.25000000000000006,0.0079479,1.015,0.0287,0.035,0.0008,0.0,4.7053,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6773,3.4474,0.3138,0.0274
0.26000000000000006,0.0079498,1.0156,0.02869,0.035,0.0008,0.0,4.7056,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6827,3.4466,0.3136,0.0274
0.2700000000000001,0.0079516,1.0161,0.02868,0.035,0.0008,0.0,4.7058,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4035,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6881,3.4458,0.3133,0.0274
0.2800000000000001,0.0079535,1.0167,0.02867,0.035,0.0008,0.0,4.7061,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6935,3.445,0.313,0.0274
0.2900000000000001,0.0079553,1.0173,0.02866,0.035,0.0008,0.0,4.7063,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.6989,3.4442,0.3127,0.0274
0.3000000000000001,0.0079571,1.0179,0.02865,0.035,0.0008,0.0,4.7065,0.1174,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.7042,3.4434,0.3125,0.0274
0.3100000000000001,0.007959,1.0184,0.02865,0.035,0.0008,0.0,4.7068,0.1175,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.7096,3.4427,0.3122,0.0274
0.3200000000000001,0.0079608,1.019,0.02864,0.035,0.0008,0.0,4.707,0.1175,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.715,3.4419,0.3119,0.0274
0.3300000000000001,0.0079626,1.0196,0.02863,0.035,0.0008,0.0,4.7073,0.1175,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.7204,3.4411,0.3116,0.0274
0.34000000000000014,0.0079645,1.0201,0.02862,0.035,0.0008,0.0,4.7075,0.1175,0.3867,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.7257,3.4403,0.3114,0.0274
0.35000000000000014,0.0079663,1.0207,0.02861,0.035,0.0008,0.0,4.7078,0.1175,0.3868,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1704,103.7311,3.4395,0.3111,0.0274
0.36000000000000015,0.0079681,1.0213,0.0286,0.035,0.0008,0.0,4.708,0.1175,0.3868,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1705,103.7365,3.4387,0.3108,0.0274
0.37000000000000016,0.00797,1.0219,0.02859,0.035,0.0008,0.0,4.7083,0.1175,0.3868,2.8454,6565.7515,4940.3325,0.4036,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1705,103.7418,3.4379,0.3105,0.0274
0.38000000000000017,0.0079718,1.0224,0.02858,0.035,0.0008,0.0,4.7085,0.1175,0.3868,2.8454,6565.7515,4940.3325,0.4037,1.0,280.1824,4403.0581,2192.2676,0.0228,0.1705,103.7472,3.4371,0.3103,0.0274
