time (second),average fuel mass flow rate (pound / second),average port diameter (inch),average regression rate (inch / second),average total mass flow rate (pound / second),average total mass flux (pound / inch ** 2 / second),inlet mach,inlet velocity (mph),nozzle exit area (inch ** 2),nozzle exit diameter (inch),nozzle exit mach,nozzle exit velocity (mph),nozzle naught temp (degF),nozzle nozzle diffuser length (inch),nozzle star mach,nozzle star pressure (pound_force_per_square_inch),nozzle star temp (degF),nozzle star velocity (mph),nozzle throat area (inch ** 2),nozzle throat diameter (inch),nozzle thrust (newton),oxi fuel ratio,oxidiser mass flow rate (pound / second)
0.0,0.0533143,1.2013,0.06595,0.384,0.0068,0.0,15.9181,0.5786,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.0142,6.2027,0.3307
0.01,0.0533368,1.2026,0.06591,0.384,0.0068,0.0,15.919,0.5786,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.044,6.2001,0.3307
0.02,0.0533593,1.204,0.06586,0.384,0.0068,0.0,15.92,0.5786,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.0739,6.1975,0.3307
0.03,0.0533818,1.2053,0.06582,0.384,0.0068,0.0,15.9209,0.5787,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.1036,6.1949,0.3307
0.04,0.0534042,1.2066,0.06577,0.384,0.0068,0.0,15.9218,0.5787,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.1334,6.1923,0.3307
0.05,0.0534266,1.2079,0.06573,0.384,0.0068,0.0,15.9227,0.5787,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.1631,6.1897,0.3307
0.060000000000000005,0.053449,1.2092,0.06568,0.384,0.0067,0.0,15.9237,0.5788,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.1927,6.1871,0.3307
0.07,0.0534714,1.2105,0.06564,0.384,0.0067,0.0,15.9246,0.5788,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.2223,6.1845,0.3307
0.08,0.0534937,1.2118,0.0656,0.384,0.0067,0.0,15.9255,0.5788,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.2519,6.1819,0.3307
0.09,0.053516,1.2132,0.06555,0.384,0.0067,0.0,15.9265,0.5789,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.2815,6.1793,0.3307
0.09999999999999999,0.0535383,1.2145,0.06551,0.384,0.0067,0.0,15.9274,0.5789,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1124,0.3788,510.311,6.1768,0.3307
0.10999999999999999,0.0535605,1.2158,0.06547,0.384,0.0067,0.0,15.9283,0.579,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.3404,6.1742,0.3307
0.11999999999999998,0.0535827,1.2171,0.06542,0.384,0.0067,0.0,15.9292,0.579,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.3699,6.1716,0.3307
0.12999999999999998,0.0536049,1.2184,0.06538,0.384,0.0067,0.0,15.9301,0.579,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.3993,6.1691,0.3307
0.13999999999999999,0.0536271,1.2197,0.06534,0.384,0.0067,0.0,15.9311,0.5791,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.4286,6.1665,0.3307
0.15,0.0536492,1.221,0.06529,0.384,0.0067,0.0,15.932,0.5791,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.4579,6.164,0.3307
0.16,0.0536713,1.2223,0.06525,0.384,0.0067,0.0,15.9329,0.5791,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.4872,6.1615,0.3307
0.17,0.0536934,1.2236,0.06521,0.384,0.0067,0.0,15.9338,0.5792,0.8595,2.8454,6565.7513,4940.3584,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.5164,6.1589,0.3307
0.18000000000000002,0.0537154,1.2249,0.06516,0.384,0.0067,0.0,15.9347,0.5792,0.8595,2.8454,6565.7513,4940.3585,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.5456,6.1564,0.3307
0.19000000000000003,0.0537374,1.2262,0.06512,0.384,0.0067,0.0,15.9356,0.5792,0.8595,2.8454,6565.7513,4940.3585,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.5748,6.1539,0.3307
0.20000000000000004,0.0537594,1.2275,0.06508,0.384,0.0067,0.0,15.9365,0.5792,0.8595,2.8454,6565.7513,4940.3585,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.6039,6.1514,0.3307
0.21000000000000005,0.0537814,1.2288,0.06504,0.384,0.0066,0.0,15.9375,0.5793,0.8595,2.8454,6565.7513,4940.3585,0.897,1.0,280.1824,4403.0815,2192.2728,0.1125,0.3788,510.633,6.1488,0.3307
